сказали	сказать	VERB	advmod	сразу	сразу	ADV	_	_	_	_	8.096743489768414	9
спрашивали	спрашивать	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
оказался	оказаться	VERB	nsubj	официант	официант	NOUN	_	_	_	_	8.096743489768414	9
ресторан	ресторан	VERB	nsubj:pass	супер	супер	NOUN	_	_	_	_	8.096743489768414	9
мило	мять	VERB	advmod	и	и	PART	_	_	_	_	8.096743489768414	9
оставляют	оставлять	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
попросила	просить	VERB	obj	книгу	книга	NOUN	_	_	_	_	8.096743489768414	9
обожаю	обожать	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
торопилась	торопиться	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
выгнали	выгнать	VERB	obj	нас	мы	PRON	_	_	_	_	8.096743489768414	9
знаю	знать	VERB	parataxis	может	мочь	VERB	_	_	_	_	8.096743489768414	9
находится	находиться	VERB	obl	здании	здание	NOUN	case	в	в	ADP	8.096743489768414	9
получалось	получаться	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
получалось	получаться	VERB	nsubj	все	все	PRON	_	_	_	_	8.096743489768414	9
было	быть	VERB	nsubj	которого	который	PRON	_	_	_	_	8.096743489768414	9
заходить	заходить	VERB	advmod	туда	туда	ADV	_	_	_	_	8.096743489768414	9
посетили	посетить	VERB	obl	женой	жена	NOUN	case	с	с	ADP	8.096743489768414	9
посетили	посетить	VERB	conj	остались	остаться	VERB	_	_	_	_	8.096743489768414	9
обслуживал	обслуживать	VERB	nsubj	столик	столик	NOUN	_	_	_	_	8.096743489768414	9
видим	видеть	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
подошла	подойти	VERB	conj	принесла	принести	VERB	_	_	_	_	8.096743489768414	9
открыла	открыть	VERB	nsubj	я	я	PRON	_	_	_	_	8.096743489768414	9
заказала	заказать	VERB	nsubj	она	она	PRON	_	_	_	_	8.096743489768414	9
заказала	заказать	VERB	obj	стейк	стейк	NOUN	_	_	_	_	8.096743489768414	9
спрашивала	спрашивать	VERB	nsubj	я	я	PRON	_	_	_	_	8.096743489768414	9
ждал	ждать	VERB	obj	меня	я	PRON	_	_	_	_	8.096743489768414	9
решила	решить	VERB	xcomp	рискнуть	рискнуть	VERB	_	_	_	_	8.096743489768414	9
предложил	предложить	VERB	xcomp	выбрать	выбрать	VERB	_	_	_	_	8.096743489768414	9
составил	составить	VERB	nsubj	чек	чек	NOUN	_	_	_	_	8.096743489768414	9
стало	стать	VERB	advmod	жалко	жалко	ADV	_	_	_	_	8.096743489768414	9
было	быть	VERB	nsubj	официанта	официант	NOUN	_	_	_	_	8.096743489768414	9
сложили	сложить	VERB	iobj	нам	мы	PRON	_	_	_	_	8.096743489768414	9
принесли	принести	VERB	conj	предложили	предложить	VERB	_	_	_	_	8.096743489768414	9
закончился	закончиться	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
оказалась	оказаться	VERB	nsubj	порция	порция	NOUN	_	_	_	_	8.096743489768414	9
было	быть	VERB	nsubj	цены	цена	NOUN	_	_	_	_	8.096743489768414	9
заходить	заходить	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
выходят	выходить	VERB	nsubj	окна	окно	NOUN	_	_	_	_	8.096743489768414	9
зайдем	зайдть	VERB	nsubj	мы	мы	PRON	_	_	_	_	8.096743489768414	9
зайдем	зайдть	VERB	advmod	сюда	сюда	ADV	_	_	_	_	8.096743489768414	9
делала	делать	VERB	obj	все	все	PRON	_	_	_	_	8.096743489768414	9
оказался	оказаться	VERB	obl	вкус	вкус	NOUN	case	на	на	ADP	8.096743489768414	9
тянет	тянуть	VERB	mark	что	что	SCONJ	_	_	_	_	8.096743489768414	9
ждут	ждать	VERB	obj	нас	мы	PRON	_	_	_	_	8.096743489768414	9
заказали	заказать	VERB	conj	чай	чай	NOUN	_	_	_	_	8.096743489768414	9
впечатлило	впечатлять	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
решили	решить	VERB	advmod	тоже	тоже	PART	_	_	_	_	8.096743489768414	9
относится	относиться	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
сделала	делать	VERB	nsubj	девушка	девушка	NOUN	_	_	_	_	8.096743489768414	9
